"behav";"Bouts";"seconds";"ID";"animal_ID";"gender";"treatment";"genotype";"date";"test.cage";"real.time.start";"dark.start";"project.name"
"Repetitive Jumping";21;16.4;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Sleep";141;38090.8;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Sniff";1257;1258.4;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Stationary";181;75.28;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Stretch Body";1656;2595.16;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Turn";3970;1102.92;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Twitch";432;803.92;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Unknown Behavior";2558;1354.4;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Urinate";0;0;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Walk Left";1003;352.64;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Walk Right";1093;377.16;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Walk Slowly";3994;1370.56;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Awaken";43;116.12;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Chew";193;146.72;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Circle";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Come Down";3143;959.6;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Come Down From Partially Reared";240;66.48;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Come Down To Partially Reared";115;34.84;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
